campus,course_no,title,target_year,capacity,professor,credit,time_place,language,note,syllabus_url
국제,SWCON311-00,게임그래픽프로그래밍(컴퓨터공학과),3,50,이대호,3.0,"월 12:00-13:50 (B06)
수 12:00-13:50 (B06)",,메타버스 마이크로디그리 교과목,
국제,CSE103-00,객체지향프로그래밍,1,150,이대호,3.0,"월 16:30-18:20 (전205)
수 16:30-18:20 (전205)",,"본인 노트북으로 실습 (필요시 대여 가능), 실감미디어기술 마이크로디그리 교과목",
국제,CSE302-02,컴퓨터네트워크,3,40,유인태,3.0,"월 13:30-14:45 (전137)
수 13:30-14:45 (전137)",,,
국제,EE211-01,확률및랜덤변수(컴퓨터공학과),2,60,이계산,3.0,"화 15:00-16:15 (전226)
목 15:00-16:15 (전226)",,,
국제,AI3004-00,빅데이터마이닝(컴퓨터공학과),3,60,이영구,3.0,"월 13:30-14:45 (전103)
수 13:30-14:45 (전103)",,빅데이터분석 마이크로디그리 과목,
국제,CSE305-00,데이터베이스,3,67,이영구,3.0,"월 15:00-16:15 (B07)
수 15:00-16:15 (B07)",,본인 노트북으로 실습 (필요시 대여 가능),
국제,CSE406-02,캡스톤디자인,4,8,이영구,3.0,월 19:00-21:45 (B09),,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,
국제,CSE495-04,독립심화학습1(컴퓨터공학),4,1,이영구,3.0,토 09:00-11:45 (),,지도교수를 통해 별도로 신청한 학생들만 신청 가능(박*우),
국제,EE211-02,확률및랜덤변수(컴퓨터공학과),2,60,김윤희,3.0,"월 15:00-16:15 (전226)
수 15:00-16:15 (전226)",,,
국제,CSE406-03,캡스톤디자인,4,8,허의남,3.0,월 19:00-21:45 (B09),,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,
국제,CSE496-07,연구연수활동1(컴퓨터공학),4,1,허의남,1.0,토 09:00-10:50 (),,지도교수를 통해 별도로 신청한 학생들만 신청 가능(우*진),
국제,CSE443-00,AI네트워킹,4,50,허의남,3.0,"화 15:00-16:15 (B06)
목 15:00-16:15 (B06)",,,
국제,EE210-00,신호와시스템(컴퓨터공학과),3,60,김규헌,3.0,"월 12:00-13:15 (전220)
수 12:00-13:15 (전220)",,,
국제,EE209-02,논리회로(컴퓨터공학과),2,55,유재수,3.0,"월 16:30-17:45 (전226)
수 16:30-17:45 (전226)",,,
국제,CSE204-00,자료구조,2,60,이상훈,3.0,"월 12:00-13:50 (전136)
수 12:00-13:50 (전136)",,"선수과목:객체지향프로그래밍/노트북으로 실습, Visual Studio 환경 설정 필수",
국제,CSE301-01,운영체제,3,90,김범석,3.0,"월 10:30-11:45 (B09)
수 10:30-11:45 (B09)",,,
국제,CSE450-00,모바일/웹서비스프로그래밍,4,40,안기옥,3.0,화 15:00-17:45 (B05),,산학필수 과목,
국제,CSE224-00,UI/UX프로그래밍,2,65,전석희,3.0,금 13:30-16:15 (B07),영어(부분),실감미디어기술 마이크로디그리 교과목,
국제,CSE406-05,캡스톤디자인,4,8,전석희,3.0,월 19:00-21:45 (B09),,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,
국제,SWCON103-00,디자인적사고(컴퓨터공학과),1,54,이승규,3.0,금 09:00-12:50 (전211-1),,디자인소프트웨어 마이크로디그리 교과목,
국제,CSE406-01,캡스톤디자인,4,8,이승규,3.0,월 19:00-21:45 (B09),,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,
국제,CSE428-00,컴퓨터그래픽스,4,40,이승규,3.0,"화 10:30-11:45 (전309)
목 10:30-11:45 (전309)",,실감미디어기술 마이크로디그리 교과목,
국제,CSE406-04,캡스톤디자인,4,14,강선무,3.0,월 19:00-21:45 (B09),,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,
국제,CSE438-00,최신기술콜로키움1,4,154,진성욱,2.0,금 10:00-11:50 (전205),,산학필수 과목,
국제,CSE406-06,캡스톤디자인,4,8,배성호,3.0,월 19:00-21:45 (B09),,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,
국제,CSE496-00,연구연수활동1(컴퓨터공학),4,1,배성호,1.0,토 09:00-10:50 (),,지도교수를 통해 별도로 신청한 학생들만 신청 가능(엄*진),
국제,CSE496-05,연구연수활동1(컴퓨터공학),4,1,배성호,1.0,토 09:00-10:50 (),,지도교수를 통해 별도로 신청한 학생들만 신청 가능(김*건),
국제,CSE496-04,연구연수활동1(컴퓨터공학),4,1,배성호,1.0,토 09:00-10:50 (),,지도교수를 통해 별도로 신청한 학생들만 신청 가능(김*범),
국제,CSE496-03,연구연수활동1(컴퓨터공학),4,1,배성호,1.0,토 09:00-10:50 (),,지도교수를 통해 별도로 신청한 학생들만 신청 가능(이*수),
국제,CSE496-02,연구연수활동1(컴퓨터공학),4,1,배성호,1.0,토 09:00-10:50 (),,지도교수를 통해 별도로 신청한 학생들만 신청 가능(이*성),
국제,CSE495-07,독립심화학습1(컴퓨터공학),4,1,배성호,3.0,토 09:00-11:45 (),,지도교수를 통해 별도로 신청한 학생들만 신청 가능(LU*),
국제,CSE495-06,독립심화학습1(컴퓨터공학),4,1,배성호,3.0,토 12:00-14:45 (),,지도교수를 통해 별도로 신청한 학생들만 신청 가능(김*범),
국제,CSE495-01,독립심화학습1(컴퓨터공학),4,1,배성호,3.0,토 12:00-14:45 (),,지도교수를 통해 별도로 신청한 학생들만 신청 가능(엄*진),
국제,CSE495-05,독립심화학습1(컴퓨터공학),4,1,배성호,3.0,토 12:00-14:45 (),,지도교수를 통해 별도로 신청한 학생들만 신청 가능(이*수),
국제,CSE331-00,딥러닝,3,60,배성호,3.0,"화 10:30-11:45 (전136)
목 10:30-11:45 (전136)",영어(부분),인공지능이론 마이크로디그리 교과목,
국제,CSE335-00,클라우드컴퓨팅,3,65,김재홍,3.0,목 09:00-11:45 (글405),,산학필수 과목,
국제,CSE302-01,컴퓨터네트워크,3,44,김정윤,3.0,금 09:00-11:45 (전137),,본인 노트북으로 실습 (필요시 대여 가능),
국제,CSE444-00,AIoT네트워크,4,40,김정윤,3.0,금 13:30-16:15 (137),,,
국제,CSE406-00,캡스톤디자인,4,8,김휘용,3.0,월 19:00-21:45 (B09),,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,
국제,CSE495-03,독립심화학습1(컴퓨터공학),3,1,김휘용,3.0,토 09:00-11:45 (),,지도교수를 통해 별도로 신청한 학생들만 신청 가능(김*욱),
국제,CSE426-00,영상처리,4,60,김휘용,3.0,"화 13:30-14:45 (전103)
목 13:30-14:45 (전103)",영어(부분),XR입출력기술 마이크로디그리 교과목,
국제,SWCON253-01,기계학습(컴퓨터공학과),2,80,김휘용,3.0,"화 15:00-16:15 (B09)
목 15:00-16:15 (B09)",영어(부분),"* 필수 선이수 교과: 웹/파이선프로그래밍, 미적분학, 선형대수 / * 권장 선이수 교과: 확률및랜덤변수, 인공지능수학, 인공지능프로그래밍 / 인공지능이론 마이크로디고리 과목명",
국제,CSE305-01,데이터베이스,3,54,김태연,3.0,"화 10:30-11:45 (B01)
목 10:30-11:45 (B01)",,본인 노트북으로 실습 (필요시 대여 가능),
국제,SWCON253-00,기계학습(컴퓨터공학과),2,60,이원희,3.0,"화 10:30-11:45 (B09)
목 10:30-11:45 (B09)",영어(부분),"* 필수 선이수 교과: 웹/파이선프로그래밍, 미적분학, 선형대수 / * 권장 선이수 교과: 확률및랜덤변수, 인공지능수학, 인공지능프로그래밍 / 인공지능이론 마이크로디고리 과목명",
